,Unnamed: 0,ID,Industry,Name
240,240,2108,橡膠工業,南帝
241,241,2109,橡膠工業,華豐
242,242,2114,橡膠工業,鑫永銓
243,243,2115,汽車工業,六暉-KY
244,244,2201,汽車工業,裕隆
245,245,2204,汽車工業,中華
246,246,2206,汽車工業,三陽工業
247,247,2207,汽車工業,和泰車
248,248,2208,航運業,台船
249,249,2227,汽車工業,裕日車
250,250,2228,汽車工業,劍麟
251,251,2231,汽車工業,為升
252,252,2233,汽車工業,宇隆
253,253,2236,汽車工業,百達-KY
254,254,2239,汽車工業,英利-KY
255,255,2241,電機機械,艾姆勒
256,256,2243,汽車工業,宏旭-KY
257,257,2247,汽車工業,汎德永業
258,258,2301,電腦及週邊設備業,光寶科
259,259,2302,半導體業,麗正
260,260,2303,半導體業,聯電
261,261,2305,電腦及週邊設備業,全友
262,262,2308,電子零組件業,台達電
263,263,2312,其他電子業,金寶
264,264,2313,電子零組件業,華通
265,265,2314,通信網路業,台揚
266,266,2316,電子零組件業,楠梓電
267,267,2317,其他電子業,鴻海
268,268,2321,通信網路業,東訊
269,269,2323,光電業,中環
270,270,2324,電腦及週邊設備業,仁寶
271,271,2327,電子零組件業,國巨
272,272,2328,電子零組件業,廣宇
273,273,2329,半導體業,華泰
274,274,2330,半導體業,台積電
275,275,2331,電腦及週邊設備業,精英
276,276,2332,通信網路業,友訊
277,277,2337,半導體業,旺宏
278,278,2338,半導體業,光罩
279,279,2340,光電業,光磊
280,280,2342,半導體業,茂矽
281,281,2344,半導體業,華邦電
282,282,2345,通信網路業,智邦
283,283,2347,電子通路業,聯強
284,284,2348,其他業,海悅
285,285,2349,光電業,錸德
286,286,2351,半導體業,順德
287,287,2352,電腦及週邊設備業,佳世達
288,288,2353,電腦及週邊設備業,宏碁
289,289,2354,其他電子業,鴻準
290,290,2355,電子零組件業,敬鵬
291,291,2356,電腦及週邊設備業,英業達
292,292,2357,電腦及週邊設備業,華碩
293,293,2358,其他業,廷鑫
294,294,2359,其他電子業,所羅門
295,295,2360,其他電子業,致茂
296,296,2362,電腦及週邊設備業,藍天
297,297,2363,半導體業,矽統
298,298,2364,電腦及週邊設備業,倫飛
299,299,2365,電腦及週邊設備業,昆盈
300,300,2367,電子零組件業,燿華
301,301,2368,電子零組件業,金像電
302,302,2369,半導體業,菱生
303,303,2371,電機機械,大同
304,304,2373,其他電子業,震旦行
305,305,2374,光電業,佳能
306,306,2375,電子零組件業,凱美
307,307,2376,電腦及週邊設備業,技嘉
308,308,2377,電腦及週邊設備業,微星
309,309,2379,半導體業,瑞昱
310,310,2380,電腦及週邊設備業,虹光
311,311,2382,電腦及週邊設備業,廣達
312,312,2383,電子零組件業,台光電
313,313,2385,電子零組件業,群光
314,314,2387,電腦及週邊設備業,精元
315,315,2388,半導體業,威盛
316,316,2390,其他電子業,云辰
317,317,2392,電子零組件業,正崴
318,318,2393,光電業,億光
319,319,2395,電腦及週邊設備業,研華
320,320,2397,電腦及週邊設備業,友通
321,321,2399,電腦及週邊設備業,映泰
322,322,2401,半導體業,凌陽
323,323,2402,電子零組件業,毅嘉
324,324,2404,其他電子業,漢唐
325,325,2405,電腦及週邊設備業,浩鑫
326,326,2406,光電業,國碩
327,327,2408,半導體業,南亞科
328,328,2409,光電業,友達
329,329,2412,通信網路業,中華電
330,330,2413,電子零組件業,環科
331,331,2414,電子通路業,精技
332,332,2415,電子零組件業,錩新
333,333,2417,電腦及週邊設備業,圓剛
334,334,2419,通信網路業,仲琦
335,335,2420,電子零組件業,新巨
336,336,2421,電子零組件業,建準
337,337,2423,其他電子業,固緯
338,338,2424,電腦及週邊設備業,隴華
339,339,2425,電腦及週邊設備業,承啟
340,340,2426,光電業,鼎元
341,341,2427,資訊服務業,三商電
342,342,2428,電子零組件業,興勤
343,343,2429,電子零組件業,銘旺科
344,344,2430,電子通路業,燦坤
345,345,2431,電子零組件業,聯昌
346,346,2433,其他電子業,互盛電
347,347,2434,半導體業,統懋
348,348,2436,半導體業,偉詮電
349,349,2438,光電業,翔耀
350,350,2439,通信網路業,美律
351,351,2440,電子零組件業,太空梭
352,352,2441,半導體業,超豐
353,353,2442,電腦及週邊設備業,新美齊
354,354,2443,其他業,億麗
355,355,2444,通信網路業,兆勁
356,356,2448,光電業,晶電
357,357,2449,半導體業,京元電子
